"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,249069.06974944,221401.151192496,280194.575194033,12.4254855255337,0.0600796890221568,249069.069749439,"index"
"Coastwide",2004,253874.713361277,225060.323372126,286378.199047114,12.4445961698275,0.0614666502285355,253874.713361277,"index"
"Coastwide",2005,271114.955937982,242841.924158753,302679.694158586,12.5102982015711,0.0561909349665869,271114.955937982,"index"
"Coastwide",2006,256428.548482665,230545.788761797,285217.096482583,12.4546053413666,0.0542870026130243,256428.548482665,"index"
"Coastwide",2007,303179.160615862,272763.682671105,336986.22386827,12.6220791989102,0.0539388130054693,303179.160615862,"index"
"Coastwide",2008,261458.135496058,236098.748734813,289541.376154677,12.4740294559654,0.0520540343782349,261458.135496058,"index"
"Coastwide",2009,249992.959935095,225345.520370848,277336.243091323,12.4291880361883,0.0529590786496651,249992.959935095,"index"
"Coastwide",2010,216837.315151695,196950.385499381,238732.313841262,12.2869026515954,0.0490802517855565,216837.315151695,"index"
"Coastwide",2011,213073.705849693,192687.636248064,235616.591746828,12.2693934216876,0.0513110091609956,213073.705849693,"index"
"Coastwide",2012,219293.99373531,198947.242161095,241721.650252593,12.298168545683,0.0496813169333569,219293.99373531,"index"
"Coastwide",2013,252676.726197979,223432.87993196,285748.131526437,12.4398661886123,0.0627561808040555,252676.726197979,"index"
"Coastwide",2014,256886.940619718,231680.411234086,284835.907832891,12.4563913473166,0.0526934091362654,256886.940619718,"index"
"Coastwide",2015,246400.17520196,222304.078550599,273108.10820656,12.4147122216882,0.0525064621899715,246400.17520196,"index"
"Coastwide",2016,243536.481244805,220466.382467199,269020.687115077,12.40302203059,0.0507772232528336,243536.481244805,"index"
"Coastwide",2017,298923.704043038,265528.04886696,336519.554977712,12.6079436493867,0.0604439116163153,298923.704043038,"index"
"Coastwide",2018,280298.578453876,253940.899974363,309392.040002992,12.5436106656233,0.0503855299084433,280298.578453876,"index"
"Coastwide",2019,266317.843501999,230866.330103972,307213.242119861,12.492445774822,0.0728848139508345,266317.843501999,"index"
"Coastwide",2021,291799.288231893,263542.998235378,323085.132910994,12.5838214758351,0.0519650676382913,291799.288231892,"index"
"Coastwide",2022,359432.650220251,323525.35223159,399325.212547405,12.7922820956723,0.053699628198571,359432.650220251,"index"
"Coastwide",2023,345080.205747537,309868.203523423,384293.538493894,12.7515321494218,0.0549141791051723,345080.205747537,"index"
"Coastwide",2024,302256.02615865,272838.558765698,334845.286393971,12.6190297059413,0.0522428816736875,302256.02615865,"index"
"Coastwide",2025,370792.735988256,334068.151058861,411554.506545678,12.8233985223748,0.0532143585119805,370792.735988256,"index"
"WA",2003,44119.8053947012,36526.9292430814,53291.0175698662,10.6946640625395,0.0963584070974456,44119.8053947012,"index"
