"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,30554.8406598166,9632.3844254243,96922.8642165261,10.327278402451,0.588986498490306,30554.8406598166,"index"
"Coastwide",2004,22080.4358200194,6768.44289183526,72032.1725090008,10.0024472384218,0.603287055018649,22080.4358200194,"index"
"Coastwide",2005,20995.4026077124,6758.40095046909,65223.5541943305,9.95205876929606,0.578335715844807,20995.4026077124,"index"
"Coastwide",2006,18807.784512996,6196.34681561122,57087.3078627701,9.842026132955,0.566495592586689,18807.784512996,"index"
"Coastwide",2007,18310.3946636995,5779.46433300629,58010.6621345025,9.8152241919802,0.588356683926281,18310.3946636995,"index"
"Coastwide",2008,12680.9800148275,4057.88945958256,39628.2983403391,9.44785851324025,0.581357740415562,12680.9800148275,"index"
"Coastwide",2009,23108.0018653433,7429.91127632174,71868.9268754041,10.047934237624,0.578921373152388,23108.0018653433,"index"
"Coastwide",2010,18704.5020582389,5889.27923155292,59405.9788118434,9.8365195256441,0.589618297660023,18704.5020582389,"index"
"Coastwide",2011,18697.0861912281,5722.2651137392,61091.3729255335,9.83612297205079,0.604094246882916,18697.0861912281,"index"
"Coastwide",2012,20547.5972185607,6149.66169106004,68654.7931685371,9.93049928941726,0.615494442361711,20547.5972185607,"index"
"Coastwide",2013,17483.7402316369,5483.34814800707,55747.1756737639,9.76902659838238,0.59162078397503,17483.7402316369,"index"
"Coastwide",2014,14312.5057695078,4431.72437886579,46223.0508691114,9.56888896340623,0.59814615729896,14312.5057695078,"index"
"Coastwide",2015,22319.9307846758,7106.73273456767,70099.6264865202,10.0132353154454,0.583907377020807,22319.9307846758,"index"
"Coastwide",2016,24604.1431728087,7927.00509346414,76367.2855170985,10.110670129398,0.577887942303494,24604.1431728087,"index"
"Coastwide",2017,20608.4346565363,6560.51084650302,64736.9677346256,9.93345572032259,0.584006633541519,20608.4346565363,"index"
"Coastwide",2018,17113.6054801537,5307.05847379882,55186.0308259813,9.74762906824961,0.597376317359901,17113.6054801537,"index"
"Coastwide",2019,19960.5164249969,5907.41742094307,67444.3987215256,9.90151142252659,0.621209063966434,19960.5164249969,"index"
"Coastwide",2021,13690.520738546,4567.06983185986,41039.520960473,9.52445895543679,0.560128584247568,13690.520738546,"index"
"Coastwide",2022,33248.4642281768,11555.4364107542,95665.8263900397,10.411763856391,0.539220401293599,33248.4642281768,"index"
"Coastwide",2023,44520.896751701,15022.5221939231,131942.574089019,10.7037139478574,0.554300039613486,44520.896751701,"index"
"Coastwide",2024,48051.8697523078,15058.8003721312,153331.084125791,10.7800363262804,0.592010105194148,48051.8697523078,"index"
"Coastwide",2025,20417.5239235272,6577.21860691509,63381.6979611282,9.92414882694852,0.577960414091895,20417.5239235272,"index"
"WA",2003,16994.1128031045,2998.57003325085,96312.5312272738,9.74062225736095,0.885083334496694,16994.1128031045,"index"
"WA",2004,12000.0951339318,2031.37624543134,70889.0258745921,9.39266985656636,0.906241683435577,12000.0951339318,"index"
"WA",2005,11901.8803296398,2146.41762506623,65995.8964773674,9.38445167751132,0.873942674707336,11901.8803296398,"index"
"WA",2006,10485.3653858474,2029.90762909197,54161.522277695,9.25773579116444,0.837765507951202,10485.3653858474,"index"
"WA",2007,10460.5351827782,1853.37998807068,59039.5909173742,9.25536490101159,0.882974709220798,10460.5351827782,"index"
"WA",2008,7124.21385999716,1256.36582912171,40397.8060740928,8.87125466361045,0.885361214519827,7124.21385999716,"index"
"WA",2009,12771.9685049933,2293.55334552078,71122.470210302,9.45500808788998,0.876113300157574,12771.9685049933,"index"
"WA",2010,10717.5525243414,1883.49084797729,60985.6598110757,9.27963809926175,0.887136674401992,10717.5525243414,"index"
"WA",2011,10752.4567474298,1782.26770629033,64869.7867875265,9.28288954209037,0.916979970816993,10752.4567474298,"index"
"WA",2012,11878.0439054537,1921.60770009567,73421.8160204407,9.38244692493652,0.929368845988805,11878.0439054537,"index"
"WA",2013,9665.98011834126,1675.11827427759,55775.865551023,9.17636779553774,0.894265790640922,9665.98011834125,"index"
"WA",2014,7988.38957770211,1350.6594162685,47246.8242374833,8.98574446371479,0.906851487610508,7988.38957770211,"index"
"WA",2015,12503.2569699493,2263.2119092989,69075.0319111811,9.4337444469471,0.872058965524431,12503.2569699493,"index"
"WA",2016,13984.1308656826,2449.04429632121,79849.8893475663,9.54567845609542,0.888906799071574,13984.1308656826,"index"
"WA",2017,11903.5150874537,2156.55172919843,65703.812952312,9.38458902098223,0.871609494401598,11903.5150874537,"index"
"WA",2018,9815.13789346311,1622.51359203351,59375.1154632581,9.19168115586945,0.918358370004613,9815.13789346311,"index"
"WA",2019,11634.6320075088,1935.08216576191,69952.9272426788,9.36174144717509,0.915239460437147,11634.6320075088,"index"
"WA",2021,7484.97705803368,1373.22470914776,40798.0436020994,8.92065323179007,0.865187416656282,7484.97705803369,"index"
"WA",2022,17256.9363551709,3277.76899893827,90855.0457530356,9.75596944918207,0.847490655739669,17256.9363551709,"index"
"WA",2023,23525.5456874692,4414.68868059288,125365.872870309,10.0658421602513,0.853663422858287,23525.5456874692,"index"
"WA",2024,26046.5311414909,4174.91814770858,162499.42166579,10.1676398767597,0.934093615723148,26046.5311414909,"index"
