"","area","year","est","lwr","upr","se","coord","type"
"1","Coastwide",2003,391.066350807397,367.092209735494,415.040491879301,12.2319293930952,"X","cog"
"2","Coastwide",2004,392.770625329617,367.204025823624,418.337224835611,13.0444231157609,"X","cog"
"3","Coastwide",2005,419.044199911645,395.11688572451,442.971514098781,12.2080376863406,"X","cog"
"4","Coastwide",2006,456.111480005991,431.318159969999,480.904800041982,12.6498855242025,"X","cog"
"5","Coastwide",2007,415.353310970057,389.2084012385,441.498220701615,13.3394847751212,"X","cog"
"6","Coastwide",2008,429.942479707587,406.383603825563,453.50135558961,12.0200555050261,"X","cog"
"7","Coastwide",2009,451.789018122788,408.66971913589,494.908317109685,22.0000465962729,"X","cog"
"8","Coastwide",2010,413.885778205092,383.53325936902,444.238297041165,15.4862635617233,"X","cog"
"9","Coastwide",2011,387.276193708017,368.112815233558,406.439572182476,9.77741357780904,"X","cog"
"10","Coastwide",2012,387.125786056629,363.928263372561,410.323308740697,11.8356882407264,"X","cog"
"11","Coastwide",2013,447.316729000274,405.09681694079,489.536641059759,21.5411672829246,"X","cog"
"12","Coastwide",2014,406.455914498863,382.536003325889,430.375825671837,12.2042605688938,"X","cog"
"13","Coastwide",2015,397.705509425609,370.224871983444,425.186146867774,14.0209910278601,"X","cog"
"14","Coastwide",2016,390.874484776708,360.831033214291,420.917936339125,15.3285732796094,"X","cog"
"15","Coastwide",2017,400.142396326707,366.144508607221,434.140284046194,17.3461798214953,"X","cog"
"16","Coastwide",2018,389.897065602368,359.173868145459,420.620263059276,15.6753887822681,"X","cog"
"17","Coastwide",2019,369.839058519488,342.293945103402,397.384171935573,14.0538875374026,"X","cog"
"18","Coastwide",2021,445.048477217802,404.052214522309,486.044739913295,20.9168449108587,"X","cog"
"19","Coastwide",2022,403.792945728951,371.482737140148,436.103154317754,16.4851032180499,"X","cog"
"20","Coastwide",2023,494.275874460904,449.036793670702,539.514955251106,23.0815877980628,"X","cog"
"21","Coastwide",2024,411.794848209878,368.321677807732,455.268018612024,22.1805965543533,"X","cog"
"22","Coastwide",2025,471.107327071304,416.47536604676,525.739288095848,27.8739616929056,"X","cog"
"23","Coastwide",2003,5029.89154115621,4931.03188878449,5128.75119352793,50.4395249869471,"Y","cog"
