"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,48600.6619347456,35929.8112050861,65739.9596956709,10.7913924298523,0.154120079073667,48600.6619347456,"index"
"Coastwide",2004,45505.6395351086,32898.2478775423,62944.4837672593,10.725591543085,0.165521849539254,45505.6395351086,"index"
"Coastwide",2005,45550.4376789574,35621.5924739161,58246.7607045889,10.7265755114006,0.125445288892428,45550.4376789574,"index"
"Coastwide",2006,51469.8316714049,40061.628058884,66126.7077910301,10.8487511222199,0.127847692759215,51469.8316714049,"index"
"Coastwide",2007,34640.1850303915,26957.7313070374,44511.9956599058,10.4527697041861,0.127933112552569,34640.1850303915,"index"
"Coastwide",2008,40261.6208056714,32058.3370616568,50564.0110646431,10.6031539568452,0.116247749138206,40261.6208056714,"index"
"Coastwide",2009,18141.9512504645,13863.2204395722,23741.2653581368,9.80598228406206,0.137241135797722,18141.9512504645,"index"
"Coastwide",2010,23432.4737595696,18009.2242072928,30488.866159519,10.0618781067894,0.134307950190676,23432.4737595696,"index"
"Coastwide",2011,29979.3782250891,22418.0940940652,40090.969151605,10.3082650317847,0.14828912686657,29979.3782250891,"index"
"Coastwide",2012,30720.1686210454,21920.6800761104,43051.983644155,10.3326746762129,0.172191383578605,30720.1686210453,"index"
"Coastwide",2013,11497.6162827003,8061.21362302651,16398.9178759145,9.34989501310073,0.181164357181775,11497.6162827003,"index"
"Coastwide",2014,25994.222827523,19498.7406383103,34653.5005998968,10.1656295933724,0.146698835195328,25994.222827523,"index"
"Coastwide",2015,15238.5041628465,11100.5421923929,20918.9790098922,9.63158067237922,0.161651664321044,15238.5041628465,"index"
"Coastwide",2016,18448.6213607755,12405.2024093365,27436.201271259,9.82274492368358,0.202490308019447,18448.6213607755,"index"
"Coastwide",2017,9225.43420015078,6127.72736576927,13889.1029416135,9.1297195355681,0.208748894512747,9225.43420015079,"index"
"Coastwide",2018,23644.7973217503,15780.9200416165,35427.3666498714,10.0708983833242,0.206300467523075,23644.7973217504,"index"
"Coastwide",2019,21321.3224276561,12861.7150776578,35345.1143427797,9.96746290391976,0.257888692708255,21321.3224276561,"index"
"Coastwide",2021,8892.57430965941,6348.50520089271,12456.1413042073,9.09297186022958,0.171940505104438,8892.57430965941,"index"
"Coastwide",2022,19307.7603442797,12588.6606406238,29613.1272543117,9.86826238445349,0.218223727191851,19307.7603442797,"index"
"Coastwide",2023,10157.8427944278,7630.62034842012,13522.0683935181,9.22600137520558,0.145960309797906,10157.8427944278,"index"
"Coastwide",2024,8452.46204759722,5735.77570080484,12455.876657807,9.04221304449177,0.197827495709176,8452.46204759723,"index"
"Coastwide",2025,13534.1911516767,9766.66386316255,18755.0562501709,9.51297444050481,0.166454191908309,13534.1911516767,"index"
"WA",2003,35150.6606184786,23987.427348711,51509.0227873834,10.467398691329,0.194959490452991,35150.6606184786,"index"
