"","Common_name","Scientific_name","Project","Year","Vessel","Tow","total_catch_numbers","total_catch_wt_kg","Trawl_id","Subsample_count","Subsample_wt_kg","cpue_kg_per_ha_der","Partition_sample_types","Partition","Legacy_performance_code","Performance","Station_invalid","Reason_station_invalid","Pass","Datetime_utc_iso","Depth_m","Longitude_dd","Latitude_dd","Area_swept_ha","Date","cpue_kg_km2"
"1","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",1,1,4.8,"200303003001",1,4.8,2.897300125383,NA,NA,-999,"Satisfactory",0,"0",2,"2003-08-31T00:00:00Z",527.5357,-124.725,46.30416667,1.656714800772,2003-Aug-31,289.7300125383
"2","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",2,0,0,"200303003002",0,0,0,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-01T00:00:00Z",673.7497,-124.93027778,46.73194444,2.298760995311,2003-Sep-01,0
"3","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",3,2,12,"200303003003",2,12,6.769618675631,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-01T00:00:00Z",276.165,-124.81861111,46.71916667,1.772625693556,2003-Sep-01,676.9618675631
"4","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",4,0,0,"200303003004",0,0,0,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-01T00:00:00Z",823.6656,-125.09638889,46.92416667,2.70515680743,2003-Sep-01,0
"5","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",5,0,0,"200303003005",0,0,0,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-01T00:00:00Z",172.6837,-124.98277778,47.01416667,1.95994720935,2003-Sep-01,0
"6","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",6,0,0,"200303003006",0,0,0,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-02T00:00:00Z",985.7053,-125.43611111,47.56361111,2.399955479906,2003-Sep-02,0
"7","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",8,0,0,"200303003008",0,0,0,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-02T00:00:00Z",556.7504,-125.18194444,47.54,1.7877949638,2003-Sep-02,0
"8","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",9,6,25,"200303003009",6,25,11.14316444836,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-02T00:00:00Z",267.3988,-125.06222222,47.57666667,2.24352787001,2003-Sep-02,1114.316444836
"9","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",10,22,45.65,"200303003010",22,45.65,22.079810236876,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-02T00:00:00Z",137.403,-124.94277778,47.64055556,2.067499652862,2003-Sep-02,2207.9810236876
"10","longnose skate","Raja rhina","Groundfish Slope and Shelf Combination Survey",2003,"Blue Horizon",11,4,10.05,"200303003011",4,10.05,5.38023501974,NA,NA,-999,"Satisfactory",0,"0",2,"2003-09-03T00:00:00Z",98.7985,-124.85333333,47.72861111,1.867948140393,2003-Sep-03,538.023501974
