"","area","year","est","lwr","upr","se","coord","type"
"1","Coastwide",2003,431.308147831895,422.540515973347,440.075779690442,4.47336375959224,"X","cog"
"2","Coastwide",2004,436.685943814088,427.683073812706,445.68881381547,4.5933854256484,"X","cog"
"3","Coastwide",2005,434.884972640284,426.409596679781,443.360348600787,4.32425086754449,"X","cog"
"4","Coastwide",2006,435.891493011592,427.128846717982,444.654139305202,4.47082005727092,"X","cog"
"5","Coastwide",2007,435.459148880149,427.330100539926,443.588197220371,4.14754985517247,"X","cog"
"6","Coastwide",2008,433.84721547656,425.799707902081,441.894723051039,4.10594665920224,"X","cog"
"7","Coastwide",2009,433.089097848883,424.624071954914,441.554123742852,4.31897012431856,"X","cog"
"8","Coastwide",2010,434.344401392522,425.166851670881,443.521951114164,4.68250936957657,"X","cog"
"9","Coastwide",2011,437.406324157748,428.040605679233,446.772042636263,4.7785156015061,"X","cog"
"10","Coastwide",2012,433.203335363964,424.617028202369,441.789642525559,4.38084945913426,"X","cog"
"11","Coastwide",2013,438.314052971888,428.7493719093,447.878734034476,4.88002898932501,"X","cog"
"12","Coastwide",2014,435.757344744731,426.589957878518,444.924731610944,4.67732414397611,"X","cog"
"13","Coastwide",2015,434.383529920779,425.385752622614,443.381307218944,4.59078705993484,"X","cog"
"14","Coastwide",2016,434.42311448974,425.859756925388,442.986472054092,4.36914026579001,"X","cog"
"15","Coastwide",2017,437.506893307211,428.349228560258,446.664558054163,4.67236378789973,"X","cog"
"16","Coastwide",2018,435.52688008487,426.523856123825,444.529904045915,4.59346397794025,"X","cog"
"17","Coastwide",2019,434.091413708621,424.647350177649,443.535477239592,4.8184883015529,"X","cog"
"18","Coastwide",2021,432.508744872376,423.553536132572,441.463953612181,4.56906800861747,"X","cog"
"19","Coastwide",2022,433.534267812365,424.689137817453,442.379397807278,4.51290435165227,"X","cog"
"20","Coastwide",2023,429.370383796902,420.412633954376,438.328133639427,4.57036451342098,"X","cog"
"21","Coastwide",2024,432.28661852851,423.174349963588,441.398887093432,4.64920204493481,"X","cog"
"22","Coastwide",2025,432.584881146793,423.386051257165,441.78371103642,4.69336679764852,"X","cog"
"23","Coastwide",2003,4684.11829875268,4639.15848835,4729.07810915537,22.9391002882291,"Y","cog"
"24","Coastwide",2004,4651.0334422205,4606.97602852421,4695.09085591678,22.4786853451399,"Y","cog"
"25","Coastwide",2005,4653.61986389026,4610.64660650712,4696.59312127341,21.9255342047676,"Y","cog"
"26","Coastwide",2006,4649.91198060518,4605.04798456181,4694.77597664856,22.8902145127442,"Y","cog"
"27","Coastwide",2007,4643.24422019647,4599.24637209583,4687.24206829711,22.4482941766743,"Y","cog"
"28","Coastwide",2008,4658.69080099622,4615.31006792892,4702.07153406351,22.1334337821904,"Y","cog"
"29","Coastwide",2009,4664.87258483682,4622.72606148415,4707.0191081895,21.5037233771243,"Y","cog"
"30","Coastwide",2010,4677.16715778772,4634.27809569976,4720.05621987567,21.882576632152,"Y","cog"
"31","Coastwide",2011,4666.27354548622,4623.03911834997,4709.50797262247,22.0587865273417,"Y","cog"
"32","Coastwide",2012,4669.55383537427,4627.00522993671,4712.10244081183,21.7088710676201,"Y","cog"
"33","Coastwide",2013,4659.80995778709,4613.34808780075,4706.27182777343,23.7054713009142,"Y","cog"
"34","Coastwide",2014,4672.32155553115,4630.76823991039,4713.8748711519,21.2010608095469,"Y","cog"
"35","Coastwide",2015,4675.38385526455,4634.63267787681,4716.13503265229,20.7917990887489,"Y","cog"
"36","Coastwide",2016,4679.66385551954,4637.11880805449,4722.2089029846,21.70705574217,"Y","cog"
"37","Coastwide",2017,4663.71299836807,4618.26564394833,4709.16035278781,23.1878518065753,"Y","cog"
"38","Coastwide",2018,4673.33868252883,4627.37686718664,4719.30049787101,23.4503366922696,"Y","cog"
"39","Coastwide",2019,4681.42454736575,4632.2971197292,4730.55197500229,25.0654746842566,"Y","cog"
"40","Coastwide",2021,4690.00189304185,4644.526340263,4735.47744582071,23.2022389888578,"Y","cog"
"41","Coastwide",2022,4688.78149334301,4643.90170616248,4733.66128052354,22.8982713634207,"Y","cog"
"42","Coastwide",2023,4714.99397406262,4666.25622399181,4763.73172413343,24.8666559463582,"Y","cog"
