"","area","year","est","lwr","upr","se","coord","type"
"1","Coastwide",2003,571.791636603818,523.411840613179,620.171432594458,24.6840229576938,"X","cog"
"2","Coastwide",2004,565.833876941289,519.126290359141,612.541463523438,23.8308392146857,"X","cog"
"3","Coastwide",2005,564.053080259287,518.783458610703,609.32270190787,23.097170154995,"X","cog"
"4","Coastwide",2006,563.32210741109,518.952644176955,607.691570645225,22.6378972185795,"X","cog"
"5","Coastwide",2007,568.646859159697,524.64091766977,612.652800649623,22.4524235327993,"X","cog"
"6","Coastwide",2008,556.874714463213,515.398311243494,598.351117682932,21.1618190675338,"X","cog"
"7","Coastwide",2009,560.581719648661,520.364416793144,600.799022504177,20.5194091180989,"X","cog"
"8","Coastwide",2010,550.291589007401,504.953996705175,595.629181309626,23.131849697159,"X","cog"
"9","Coastwide",2011,564.147691030952,520.322308356035,607.973073705869,22.3602999956153,"X","cog"
"10","Coastwide",2012,552.900620849783,505.76376234098,600.037479358586,24.0498595283448,"X","cog"
"11","Coastwide",2013,558.379926148739,515.609975857099,601.149876440379,21.8218041907933,"X","cog"
"12","Coastwide",2014,552.453680984678,505.762125179691,599.145236789666,23.822660096453,"X","cog"
"13","Coastwide",2015,554.843949061474,510.537940992064,599.149957130884,22.6055215396253,"X","cog"
"14","Coastwide",2016,551.854735387576,507.092181795835,596.617288979318,22.8384572088174,"X","cog"
"15","Coastwide",2017,567.482531366707,524.40820960016,610.556853133253,21.9770986131946,"X","cog"
"16","Coastwide",2018,560.043703909388,514.000246609186,606.08716120959,23.4919915178989,"X","cog"
"17","Coastwide",2019,557.765384539262,511.903776542567,603.626992535956,23.3992095561169,"X","cog"
"18","Coastwide",2021,560.777273087998,519.605122381363,601.949423794634,21.0065853410553,"X","cog"
"19","Coastwide",2022,558.232974618281,513.662815749674,602.803133486887,22.7402948320329,"X","cog"
"20","Coastwide",2023,554.834039327861,511.827442341268,597.840636314454,21.9425445190949,"X","cog"
"21","Coastwide",2024,564.32599908363,518.741923096751,609.910075070508,23.2576089899814,"X","cog"
"22","Coastwide",2025,565.852338884442,522.718203057039,608.986474711845,22.0076165519568,"X","cog"
"23","Coastwide",2003,4200.53088177437,4097.16943271372,4303.89233083502,52.7364022379759,"Y","cog"
"24","Coastwide",2004,4202.32446103908,4103.37118145271,4301.27774062544,50.4872948517901,"Y","cog"
