"area","year","est","lwr","upr","log_est","se","se_natural","type"
"Coastwide",2003,96054.426330766,59268.4037404257,155672.369010326,11.4726702507452,0.24635076569437,96054.426330766,"index"
"Coastwide",2004,137799.230492617,80400.2834299966,236176.131653697,11.8335530533126,0.274892843517956,137799.230492617,"index"
"Coastwide",2005,134212.207032656,82263.9614881757,218964.856429455,11.8071774608782,0.249743906510256,134212.207032656,"index"
"Coastwide",2006,84926.1406586912,53286.04024909,135353.44967396,11.3495372243038,0.237814348198908,84926.1406586913,"index"
"Coastwide",2007,151284.316612931,95133.0216777512,240578.34019577,11.9269162368553,0.236680276346975,151284.316612931,"index"
"Coastwide",2008,111053.600447926,71150.3538207555,173335.781344349,11.6177682506604,0.227156048673197,111053.600447926,"index"
"Coastwide",2009,101128.632907201,65321.0637872712,156565.123112283,11.5241485786322,0.223003457893194,101128.632907201,"index"
"Coastwide",2010,95371.2442450503,59071.4409996611,153977.524078026,11.4655323889915,0.244407314617082,95371.2442450503,"index"
"Coastwide",2011,76206.3768389101,47718.3456763428,121701.869346093,11.2412004237233,0.238845825284054,76206.3768389101,"index"
"Coastwide",2012,71161.4298409517,44430.6905897383,113974.125312791,11.1727062349021,0.240320995430339,71161.4298409516,"index"
"Coastwide",2013,95840.1197331365,56605.6618093513,162268.724662177,11.4704366626508,0.268664309981523,95840.1197331365,"index"
"Coastwide",2014,49054.6822292858,30874.1043908751,77941.1061824164,10.8006909187309,0.236237939297157,49054.6822292858,"index"
"Coastwide",2015,67699.6356332845,42025.3487543057,109058.956099916,11.1228360768074,0.243273766044561,67699.6356332845,"index"
"Coastwide",2016,80901.9000639443,50486.4675470454,129641.025644296,11.3009925893461,0.240581961238923,80901.9000639443,"index"
"Coastwide",2017,94270.8239300792,58325.6669288955,152368.394780467,11.453927024461,0.244968528362601,94270.8239300792,"index"
"Coastwide",2018,110394.691547263,66188.8753078577,184124.414641149,11.611817327858,0.260999513663776,110394.691547263,"index"
"Coastwide",2019,67071.3237468683,36664.902758285,122693.969729422,11.1135118656944,0.308136589295082,67071.3237468683,"index"
"Coastwide",2021,81147.9779245991,50339.3217072929,130812.138461874,11.3040296548824,0.243620731952038,81147.977924599,"index"
"Coastwide",2022,99854.7880913935,62888.0929325704,158551.138058331,11.5114722905375,0.23590237931142,99854.7880913936,"index"
"Coastwide",2023,109200.776039528,67426.8472285975,176855.510494304,11.6009434488568,0.245996818429702,109200.776039528,"index"
"Coastwide",2024,108899.438372069,66884.6678363203,177306.519735937,11.5981801516265,0.248706157840159,108899.438372069,"index"
"Coastwide",2025,79965.0108709027,49076.5765640167,130294.397272038,11.2893444538707,0.249089939146324,79965.0108709028,"index"
"WA",2003,4195.7239717984,1904.43409461589,9243.74316616841,8.34182118370087,0.403007917337421,4195.7239717984,"index"
"WA",2004,4694.13905838684,2007.98223570063,10973.6735254456,8.45407000068176,0.433265291286049,4694.13905838684,"index"
"WA",2005,5217.08370226783,2395.68094413872,11361.2634533243,8.55969384703167,0.397084367203032,5217.08370226783,"index"
"WA",2006,3538.71142353766,1628.20543420994,7690.96962580294,8.17151793521167,0.396070649585307,3538.71142353766,"index"
"WA",2007,5591.79373319001,2581.29574441643,12113.357108413,8.62905539718005,0.394399399640663,5591.79373319,"index"
"WA",2008,3968.03616221226,1854.28968586943,8491.28974000719,8.28602658182399,0.388154886918409,3968.03616221227,"index"
"WA",2009,3620.41624032005,1663.17997993765,7880.93526334086,8.19434428172355,0.396873406073967,3620.41624032005,"index"
"WA",2010,3769.02494933219,1684.76794686117,8431.75411495354,8.23457161286109,0.4108180063032,3769.02494933219,"index"
"WA",2011,2611.32446104093,1167.73903386363,5839.50287100456,7.86761282794184,0.410613728505825,2611.32446104093,"index"
"WA",2012,2554.1239483306,1156.62376915414,5640.1652096487,7.84546456647621,0.404193177184167,2554.1239483306,"index"
"WA",2013,3266.63550554036,1438.24457613084,7419.39702269812,8.09151583682476,0.418547095108884,3266.63550554036,"index"
"WA",2014,1784.11717951013,819.627616168616,3883.56132398586,7.48667899456479,0.396858763840699,1784.11717951013,"index"
"WA",2015,2443.50915672844,1069.42485357238,5583.12908015059,7.8011904640854,0.421596625085362,2443.50915672844,"index"
"WA",2016,2963.02385259439,1275.33517146498,6884.08078713789,7.99396559769114,0.430110604947084,2963.02385259439,"index"
"WA",2017,2970.86434593268,1275.32880496423,6920.59563586943,7.99660821502358,0.431461450874563,2970.86434593268,"index"
"WA",2018,3225.8425118637,1332.59277094764,7808.88215681002,8.07894943910035,0.451063218882046,3225.8425118637,"index"
"WA",2019,2503.82383006401,1005.80627169801,6232.9436079304,7.82557437433919,0.465329782732137,2503.82383006401,"index"
"WA",2021,2485.25265467486,1094.21629874609,5644.66163101969,7.81812960526385,0.418546429747442,2485.25265467486,"index"
"WA",2022,3677.94739333012,1585.79001647829,8530.32046332662,8.21011010199785,0.429228349801067,3677.94739333013,"index"
"WA",2023,3571.19293748987,1551.28349958754,8221.20457038862,8.18065497511558,0.425424676262092,3571.19293748988,"index"
"WA",2024,3346.07892757828,1389.91787684546,8055.32785504877,8.11554446990523,0.448245240148217,3346.07892757828,"index"
"WA",2025,2208.88184564709,947.012259306436,5152.16034436835,7.70024171427891,0.43211491764326,2208.88184564709,"index"
"OR",2003,15458.3043190762,8664.76328611209,27578.2689648517,9.64590163430679,0.295353259289883,15458.3043190763,"index"
"OR",2004,22976.2301234124,12602.0725781935,41890.5023287589,10.0422154876148,0.306433650111405,22976.2301234124,"index"
"OR",2005,25563.4555207005,14154.600431031,46168.0470136191,10.1489190918695,0.301599482184199,25563.4555207005,"index"
"OR",2006,13914.9329397625,8093.54028969196,23923.4441032796,9.54071785467152,0.27648279843586,13914.9329397625,"index"
"OR",2007,21703.903549214,12622.8031103269,37318.1317300436,9.98524741041137,0.276529153978251,21703.903549214,"index"
"OR",2008,21480.8890860116,12488.2036183817,36949.1569825417,9.97491893910752,0.276729152270116,21480.8890860116,"index"
"OR",2009,17551.8224770102,10428.8255439871,29539.9008224948,9.77291306834639,0.265609028759057,17551.8224770102,"index"
"OR",2010,18434.8935730198,10278.4101921852,33063.9947904545,9.822000537558,0.298066528610836,18434.8935730198,"index"
"OR",2011,14082.1351896681,7977.74051836019,24857.4807671046,9.55266226520827,0.289929693811675,14082.1351896681,"index"
"OR",2012,16763.2404746478,9736.55020472755,28860.9646437635,9.7269437010899,0.277199764845008,16763.2404746478,"index"
"OR",2013,17217.2977813636,9602.9137140718,30869.3123481638,9.75366984240222,0.297887105946611,17217.2977813636,"index"
"OR",2014,9267.49274298549,5303.30262875874,16194.8935886751,9.13426815196394,0.284792533635571,9267.49274298548,"index"
"OR",2015,11316.7148114821,6443.59388390918,19875.2491903979,9.334036098638,0.287349350870729,11316.7148114821,"index"
"OR",2016,18067.045011753,10515.6913210165,31041.0514622404,9.8018448401503,0.276138241452425,18067.045011753,"index"
"OR",2017,14029.6186254257,7893.15924175839,24936.8082850235,9.54892598993486,0.29346164006361,14029.6186254257,"index"
"OR",2018,19276.3554348596,10528.4211807984,35292.8394932301,9.86663451683382,0.308577536661184,19276.3554348597,"index"
"OR",2019,11017.9744013878,5512.69857880514,22021.1132849476,9.30728325468524,0.353309406537617,11017.9744013878,"index"
"OR",2021,12917.5043944663,7319.2453958773,22797.6944009891,9.46633860035608,0.289840063996315,12917.5043944663,"index"
"OR",2022,19350.8748878627,11177.8926810695,33499.7275076619,9.87049291127885,0.28000497801513,19350.8748878627,"index"
"OR",2023,20124.9615286912,10855.8143415315,37308.4932911776,9.90971619066711,0.314934404963462,20124.9615286912,"index"
"OR",2024,20004.5627311906,11381.1229774799,35161.9546557921,9.90371566307647,0.287762573595403,20004.5627311907,"index"
"OR",2025,13516.7646182785,7726.95753869118,23644.8724910288,9.51168601757757,0.285319296301848,13516.7646182785,"index"
"CA",2003,76400.398039891,45372.0011003295,128648.07985318,11.2437431850873,0.265868511496817,76400.3980398911,"index"
"CA",2004,110128.861310818,61771.558007087,196342.240424402,11.6094064256051,0.295009560930396,110128.861310818,"index"
"CA",2005,103431.667809689,60715.3085146505,176201.194848782,11.5466664592509,0.271798522125871,103431.667809689,"index"
"CA",2006,67472.4962953912,40477.8602878299,112469.822366088,11.1194753315348,0.260701161604585,67472.4962953912,"index"
"CA",2007,123988.619330528,74696.1088987173,205809.619137397,11.7279450607827,0.25855667998239,123988.619330528,"index"
"CA",2008,85604.6751997017,52290.2878054498,140143.814914759,11.3574951774573,0.251499134756456,85604.6751997018,"index"
"CA",2009,79956.394189871,49598.4092824502,128895.766302492,11.2892366924233,0.243638482599458,79956.394189871,"index"
"CA",2010,73167.3257226978,43428.3201711112,123271.117379587,11.2005042303882,0.266146311218023,73167.3257226978,"index"
"CA",2011,59512.917188201,35739.4373515001,99100.2538013097,10.9939486635719,0.260177545009956,59512.917188201,"index"
"CA",2012,51844.0654179733,30309.552693375,88678.5478576394,10.8559957503659,0.273871123337631,51844.0654179733,"index"
"CA",2013,75356.1864462322,42545.5582186008,133469.980733186,11.2299813034877,0.291663810731429,75356.1864462322,"index"
